ID,Year_Birth,Age,Age_Group,Education,Marital_Status,Income,Income_Group,Kidhome,Teenhome,Total_Kids,Has_Kids,No_Kids,Dt_Customer,Customer_Tenure,Tenure_Group,Recency,Recency_Group,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Spending,Dominant_Category,Spending_Group,NumDealsPurchases,Deal_Purchase_Category,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Purchases,Dominant_Channel,NumWebVisitsMonth,Visit_Frequency_Category,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Total_Campaign_Acceptances,Is_Campaign_Responder,Complain
5524,1957,57,Boomers+,Bachelor,Single,58138.0,Medium,0,0,0,0,1,2012-09-04,663,1-2 Years,58,30–90 Days,635,88,546,172,88,88,1617,MntWines,High,3,Medium,8,10,4,22,NumCatalogPurchases,7,High,0,0,0,0,0,1,1,1,0
2174,1954,60,Boomers+,Bachelor,Single,46344.0,Medium,1,1,2,1,0,2014-03-08,113,0-1 Years,38,30–90 Days,11,1,6,2,1,6,27,MntWines,Low,2,No/Low,1,1,2,4,NumStorePurchases,5,Medium,0,0,0,0,0,0,0,0,0
4141,1965,49,Gen X,Bachelor,Married,71613.0,Medium,0,0,0,0,1,2013-08-21,312,0-1 Years,26,<30 Days,426,49,127,111,21,42,776,MntWines,Low,1,No/Low,8,2,10,20,NumStorePurchases,4,Medium,0,0,0,0,0,0,0,0,0
6182,1984,30,Millennials,Bachelor,Married,26646.0,Low,1,0,1,1,0,2014-02-10,139,0-1 Years,26,<30 Days,11,4,20,10,3,5,53,MntMeatProducts,Low,2,No/Low,2,0,4,6,NumStorePurchases,6,High,0,0,0,0,0,0,0,0,0
5324,1981,33,Millennials,Doctoral,Married,58293.0,Medium,1,0,1,1,0,2014-01-19,161,0-1 Years,94,>90 Days,173,43,118,46,27,15,422,MntWines,Low,5,Medium,5,3,6,14,NumStorePurchases,5,Medium,0,0,0,0,0,0,0,0,0
7446,1967,47,Gen X,Master,Married,62513.0,Medium,0,1,1,1,0,2013-09-09,293,0-1 Years,16,<30 Days,520,42,98,0,42,14,716,MntWines,Low,2,No/Low,6,4,10,20,NumStorePurchases,6,High,0,0,0,0,0,0,0,0,0
965,1971,43,Gen X,Bachelor,Divorced,55635.0,Medium,0,1,1,1,0,2012-11-13,593,1-2 Years,34,30–90 Days,235,65,164,50,49,27,590,MntWines,Low,4,Medium,7,3,7,17,NumWebPurchases,6,High,0,0,0,0,0,0,0,0,0
6177,1985,29,Millennials,Doctoral,Married,33454.0,Low,1,0,1,1,0,2013-05-08,417,1-2 Years,32,30–90 Days,76,10,56,3,1,23,169,MntWines,Low,2,No/Low,4,0,4,8,NumWebPurchases,8,High,0,0,0,0,0,0,0,0,0
4855,1974,40,Gen X,Doctoral,Married,30351.0,Low,1,0,1,1,0,2013-06-06,388,1-2 Years,19,<30 Days,14,0,24,3,3,2,46,MntMeatProducts,Low,1,No/Low,3,0,2,5,NumWebPurchases,9,High,0,0,0,0,0,1,1,1,0
5899,1950,64,Boomers+,Doctoral,Married,5648.0,Low,1,1,2,1,0,2014-03-13,108,0-1 Years,68,30–90 Days,28,0,6,1,1,13,49,MntWines,Low,1,No/Low,1,0,0,1,NumWebPurchases,20,High,0,0,1,0,0,0,1,1,0
